fn_id,host_submit_reduce,init_fn_reduce,post_download_reduce,pre_upload_reduce,end_fn_reduce,finished
47,1712246028144,1712246030599,1712246204136,1712246206305,1712246211923,1712246276453
48,1712246028144,1712246030597,1712246238278,1712246242968,1712246249626,1712246276453
49,1712246028144,1712246030600,1712246243049,1712246247362,1712246251188,1712246276453
50,1712246028144,1712246030604,1712246235239,1712246241235,1712246261155,1712246276453
51,1712246028144,1712246030605,1712246239623,1712246246167,1712246253153,1712246276453
52,1712246028144,1712246030607,1712246230730,1712246234515,1712246244982,1712246276453
53,1712246028144,1712246030605,1712246236306,1712246241270,1712246249379,1712246276453
54,1712246028144,1712246030607,1712246249904,1712246255360,1712246257740,1712246276453
55,1712246028144,1712246030622,1712246211929,1712246214656,1712246223475,1712246276453
56,1712246028144,1712246030623,1712246240265,1712246243736,1712246248860,1712246276453
57,1712246028144,1712246030623,1712246236114,1712246240386,1712246248320,1712246276453
58,1712246028144,1712246030632,1712246236128,1712246239706,1712246248074,1712246276453
59,1712246028144,1712246030631,1712246233096,1712246237655,1712246244735,1712246276453
60,1712246028144,1712246030638,1712246226545,1712246230293,1712246237971,1712246276453
61,1712246028144,1712246030654,1712246246648,1712246250023,1712246252748,1712246276453
62,1712246028144,1712246030653,1712246246310,1712246250261,1712246253191,1712246276453
63,1712246028144,1712246030657,1712246239743,1712246243618,1712246249602,1712246276453
64,1712246028144,1712246030660,1712246231955,1712246237780,1712246248005,1712246276453
65,1712246028144,1712246030669,1712246225240,1712246228982,1712246239310,1712246276453
66,1712246028144,1712246030677,1712246239544,1712246243634,1712246250179,1712246276453
67,1712246028144,1712246030691,1712246247765,1712246253656,1712246255983,1712246276453
68,1712246028144,1712246030693,1712246237883,1712246242407,1712246249110,1712246276453
69,1712246028144,1712246030720,1712246233752,1712246237966,1712246246987,1712246276453
70,1712246028144,1712246030745,1712246229459,1712246233546,1712246243359,1712246276453
71,1712246028144,1712246030730,1712246234759,1712246238952,1712246246784,1712246276453
72,1712246028144,1712246030734,1712246230171,1712246234862,1712246244767,1712246276453
73,1712246028144,1712246030742,1712246249007,1712246253471,1712246255403,1712246276453
74,1712246028144,1712246030747,1712246238055,1712246243557,1712246249735,1712246276453
75,1712246028144,1712246030796,1712246244959,1712246249098,1712246252977,1712246276453
76,1712246028144,1712246030795,1712246243927,1712246247901,1712246251627,1712246276453
77,1712246028144,1712246030815,1712246239981,1712246244593,1712246250140,1712246276453
78,1712246028144,1712246030781,1712246234813,1712246238807,1712246246629,1712246276453
79,1712246028144,1712246030794,1712246221666,1712246225037,1712246235877,1712246276453
80,1712246028144,1712246030837,1712246232558,1712246237822,1712246249300,1712246276453
81,1712246028144,1712246030804,1712246232279,1712246235973,1712246244474,1712246276453
83,1712246028144,1712246030823,1712246235888,1712246240381,1712246247762,1712246276453
84,1712246028144,1712246030844,1712246245474,1712246250052,1712246252517,1712246276453
85,1712246028144,1712246030822,1712246247106,1712246252274,1712246254306,1712246276453
86,1712246028144,1712246030837,1712246218538,1712246221784,1712246232195,1712246276453
87,1712246028144,1712246030830,1712246238757,1712246242720,1712246248794,1712246276453
88,1712246028144,1712246030844,1712246248167,1712246254159,1712246257864,1712246276453
90,1712246028144,1712246030864,1712246244678,1712246248798,1712246253435,1712246276453
91,1712246028144,1712246030881,1712246243785,1712246248697,1712246253551,1712246276453
92,1712246028144,1712246030866,1712246245774,1712246251904,1712246257302,1712246276453
93,1712246028144,1712246030867,1712246228974,1712246231959,1712246239954,1712246276453
94,1712246028144,1712246030898,1712246231956,1712246238414,1712246248573,1712246276453
95,1712246028144,1712246030881,1712246233247,1712246236855,1712246245211,1712246276453
96,1712246028144,1712246030883,1712246227917,1712246232283,1712246242362,1712246276453
97,1712246028144,1712246030885,1712246240552,1712246245955,1712246251571,1712246276453
98,1712246028144,1712246030896,1712246235309,1712246238632,1712246245959,1712246276453
99,1712246028144,1712246030899,1712246235070,1712246238623,1712246246097,1712246276453
100,1712246028144,1712246030904,1712246236623,1712246242493,1712246250493,1712246276453
102,1712246028144,1712246030910,1712246227320,1712246232499,1712246243793,1712246276453
103,1712246028144,1712246030918,1712246219521,1712246222685,1712246231158,1712246276453
104,1712246028144,1712246030915,1712246230814,1712246234207,1712246241596,1712246276453
105,1712246028144,1712246030928,1712246214827,1712246218664,1712246229494,1712246276453
106,1712246028144,1712246030930,1712246229724,1712246232623,1712246240107,1712246276453
107,1712246028144,1712246030926,1712246231345,1712246234687,1712246242361,1712246276453
108,1712246028144,1712246030940,1712246249899,1712246255538,1712246259742,1712246276453
109,1712246028144,1712246030960,1712246234348,1712246238574,1712246245450,1712246276453
111,1712246028144,1712246030972,1712246239301,1712246245330,1712246250938,1712246276453
112,1712246028144,1712246030962,1712246248514,1712246254077,1712246256535,1712246276453
113,1712246028144,1712246030976,1712246247344,1712246252907,1712246255934,1712246276453
114,1712246028144,1712246030990,1712246250551,1712246255511,1712246257883,1712246276453
115,1712246028144,1712246031006,1712246224168,1712246228482,1712246238690,1712246276453
116,1712246028144,1712246031009,1712246230439,1712246233008,1712246239483,1712246276453
117,1712246028144,1712246031041,1712246243832,1712246249064,1712246253783,1712246276453
118,1712246028144,1712246031041,1712246252205,1712246256740,1712246259087,1712246276453
119,1712246028144,1712246031052,1712246231097,1712246235180,1712246245095,1712246276453
120,1712246028144,1712246031071,1712246246235,1712246249653,1712246252618,1712246276453
121,1712246028144,1712246031091,1712246241539,1712246246491,1712246251444,1712246276453
122,1712246028144,1712246031067,1712246245965,1712246251030,1712246253036,1712246276453
123,1712246028144,1712246031093,1712246243149,1712246248515,1712246253035,1712246276453
124,1712246028144,1712246031098,1712246240133,1712246243455,1712246249850,1712246276453
125,1712246028144,1712246031100,1712246241408,1712246245026,1712246249906,1712246276453
126,1712246028144,1712246031112,1712246214406,1712246217314,1712246226475,1712246276453
