,fn_id,host_submit_map,init_fn_map,post_download_map,pre_upload_map,end_fn_map,Unnamed: 0.1,Unnamed: 0,fn_id,host_submit_reduce,init_fn_reduce,post_download_reduce,pre_upload_reduce,end_fn_reduce,finished
80,80,1712244840896,1712244861739,1712244868044,1712244869366,1712245274013,80,80,80,1712245355934,1712245358613,1712245563678,1712245568171,1712245575552,1712245604243
81,81,1712244840896,1712244862139,1712244867633,1712244869130,1712245344239,81,81,81,1712245355934,1712245358634,1712245573264,1712245577842,1712245580307,1712245604243
82,82,1712244840896,1712244868185,1712244872517,1712244874122,1712245349667,82,82,82,1712245355934,1712245358612,1712245574896,1712245580064,1712245582096,1712245604243
83,83,1712244840896,1712244867992,1712244873239,1712244875196,1712245348412,83,83,83,1712245355934,1712245358627,1712245546328,1712245549574,1712245559985,1712245604243
84,84,1712244840896,1712244868637,1712244874727,1712244876551,1712245290929,84,84,84,1712245355934,1712245358620,1712245566547,1712245570510,1712245576584,1712245604243
85,85,1712244840896,1712244868577,1712244874001,1712244875651,1712245297592,85,85,85,1712245355934,1712245358634,1712245575957,1712245581949,1712245585654,1712245604243
86,86,1712244840896,1712244868277,1712244874113,1712244875888,1712245272030,86,86,86,1712245355934,1712245358654,1712245572468,1712245576588,1712245581225,1712245604243
87,87,1712244840896,1712244867729,1712244872331,1712244874138,1712245348286,87,87,87,1712245355934,1712245358671,1712245571575,1712245576487,1712245581341,1712245604243
88,88,1712244840896,1712244867343,1712244872798,1712244874297,1712245285594,88,88,88,1712245355934,1712245358656,1712245573564,1712245579694,1712245585092,1712245604243
89,89,1712244840896,1712244867740,1712244873118,1712244874635,1712245350630,89,89,89,1712245355934,1712245358657,1712245556764,1712245559749,1712245567744,1712245604243
90,90,1712244840896,1712244865917,1712244870904,1712244872607,1712245336726,90,90,90,1712245355934,1712245358688,1712245559746,1712245566204,1712245576363,1712245604243
91,91,1712244840896,1712244865715,1712244871668,1712244874249,1712245321550,91,91,91,1712245355934,1712245358671,1712245561037,1712245564645,1712245573001,1712245604243
92,92,1712244840896,1712244865784,1712244872228,1712244874033,1712245303879,92,92,92,1712245355934,1712245358673,1712245555707,1712245560073,1712245570152,1712245604243
93,93,1712244840896,1712244865088,1712244870873,1712244872655,1712245284551,93,93,93,1712245355934,1712245358675,1712245568342,1712245573745,1712245579361,1712245604243
94,94,1712244840896,1712244865181,1712244869889,1712244871576,1712245348560,94,94,94,1712245355934,1712245358686,1712245563099,1712245566422,1712245573749,1712245604243
95,95,1712244840896,1712244865158,1712244871110,1712244872885,1712245287273,95,95,95,1712245355934,1712245358689,1712245562860,1712245566413,1712245573887,1712245604243
96,96,1712244840896,1712244864906,1712244870254,1712244871815,1712245288425,96,96,96,1712245355934,1712245358694,1712245564413,1712245570283,1712245578283,1712245604243
